"name","IsGeneric","route","strength","dosage_form","over_the_counter","labeller"
"Refludan","false","Intravenous","50 mg/1mL","Powder","false","Bayer"
"Refludan","false","Intravenous","50 mg / vial","Powder, for solution","false","Bayer"
"Refludan","false","Intravenous","50 mg","Injection, solution, concentrate","false","Celgene Europe Limited"
"Refludan","false","Intravenous","50 mg","Injection, solution, concentrate","false","Celgene Europe Limited"
"Refludan","false","Intravenous","20 mg","Injection, solution, concentrate","false","Celgene Europe Limited"
"Refludan","false","Intravenous","20 mg","Injection, solution, concentrate","false","Celgene Europe Limited"
"Erbitux","false","Intravenous","2 mg/1mL","Solution","false","ImClone LLC"
"Erbitux","false","Intravenous","2 mg/1mL","Solution","false","ImClone LLC"
"Erbitux","false","Intravenous","2 mg / mL","Solution","false","Imclone, Llc"
"Erbitux","false","Intravenous","5 mg/ml","Injection, solution","false","Merck Europe B.V."
"Erbitux","false","Intravenous","5 mg/ml","Injection, solution","false","Merck Europe B.V."
"Pulmozyme","false","Respiratory (inhalation)","1 mg/1mL","Solution","false","Genentech, Inc."
"Pulmozyme 1mg/ml","false","Respiratory (inhalation)","1 mg / mL","Solution","false","Hoffmann La Roche"
"Ontak","false","Intravenous","150 ug/1mL","Injection, solution","false","Eisai Limited"
"Benepali","false","Subcutaneous","50 mg","Injection, solution","false","Samsung Bioepis Nl B.V."
"Benepali","false","Subcutaneous","50 mg","Injection, solution","false","Samsung Bioepis Nl B.V."
"Benepali","false","Subcutaneous","50 mg","Injection, solution","false","Samsung Bioepis Nl B.V."
"Benepali","false","Subcutaneous","50 mg","Injection, solution","false","Samsung Bioepis Nl B.V."
"Benepali","false","Subcutaneous","25 mg","Injection, solution","false","Samsung Bioepis Nl B.V."
"Benepali","false","Subcutaneous","25 mg","Injection, solution","false","Samsung Bioepis Nl B.V."
"Benepali","false","Subcutaneous","25 mg","Injection, solution","false","Samsung Bioepis Nl B.V."
"Brenzys","false","Subcutaneous","50 mg / mL","Solution","false","Samsung Bioepis Co., Ltd."
"Brenzys","false","Subcutaneous","50 mg / mL","Solution","false","Samsung Bioepis Co., Ltd."
"Enbrel","false","Subcutaneous","50 mg/1mL","Solution","false","Physicians Total Care, Inc."
"Enbrel","false","Subcutaneous","","Kit","false","Physicians Total Care, Inc."
"Enbrel","false","Subcutaneous","50 mg/1mL","Solution","false","A-S Medication Solutions"
