names,description,classification,drug_id,productNames
Lepirudin,"Lepirudin is a recombinant hirudin formed by 65 amino acids that acts as a highly specific and direct thrombin inhibitor.[L41539,L41569] Natural hirudin is an endogenous anticoagulant found in _Hirudo medicinalis_ leeches.[L41539] Lepirudin is produced in yeast cells and is identical to natural hirudin except for the absence of sulfate on the tyrosine residue at position 63 and the substitution of leucine for isoleucine at position 1 (N-terminal end).[A246609] 

Lepirudin is used as an anticoagulant in patients with heparin-induced thrombocytopenia (HIT), an immune reaction associated with a high risk of thromboembolic complications.[A3, L41539] HIT is caused by the expression of immunoglobulin G (IgG) antibodies that bind to the complex formed by heparin and platelet factor 4. This activates endothelial cells and platelets and enhances the formation of thrombi.[A246609] Bayer ceased the production of lepirudin (Refludan) effective May 31, 2012.[L41574]","PeptidesOrganic CompoundsOrganic AcidsCarboxylic Acids and DerivativesAmino Acids, Peptides, and Analogues",DB00001,Refludan
Cetuximab,"Cetuximab is a recombinant chimeric human/mouse IgG1 monoclonal antibody that competitively binds to epidermal growth factor receptor (EGFR) and competitively inhibits the binding of epidermal growth factor (EGF).[A227973] EGFR is a member of the ErbB family of receptor tyrosine kinases found in both normal and tumour cells; it is responsible for regulating epithelial tissue development and homeostasis.[A228083] EGFR has been implicated in various types of cancer, as it is often overexpressed in malignant cells [A227973] and EGFR overexpression has been linked to more advanced disease and poor prognosis.[A227963] EGFR is often mutated in certain types of cancer and serves as a driver of tumorigenesis.[A228083] _In vitro_, cetuximab was shown to mediate anti-tumour effects in numerous cancer cell lines and human tumour xenografts.[A227963]

Approved by the FDA in February 2004 under the brand name ERBITUX, cetuximab is used for the treatment of head and neck cancer and metastatic, KRAS wild-type colorectal cancer, and metastatic colorectal cancer with a BRAF V600E mutation.[A227963,L39045] It has also been investigated in advanced colorectal cancer, EGFR-expressing non-small cell lung cancer (NSCLC), and unresectable squamous cell skin cancer.[L31418] Cetuximab is administered via intravenous infusion and is used as monotherapy or in combination with other chemotherapies, including platinum agents, radiation therapy, [leucovorin], [fluorouracil], and [irinotecan].[L30448]","PeptidesOrganic CompoundsOrganic AcidsCarboxylic Acids and DerivativesAmino Acids, Peptides, and Analogues",DB00002,Erbitux
Dornase alfa,"Dornase alfa is a biosynthetic form of human deoxyribunuclease I (DNase I) enzyme. It is produced in genetically modified Chinese hamster ovary (CHO) cells using recombinant DNA technology. The 260-amino acid sequence of dornase alfa is identical to the endogenous human enzyme. Dornase alfa cleaves extracellular DNA to 5´-phosphodinucleotide and 5´-phosphooligonucleotide end products without affecting intracellular DNA. In individuals with cystic fibrosis, extracellular DNA, which is an extremely viscous anion, is released by degenerating leukocytes that accumulate during inflammatory responses to infections. Enzymatic breakdown of this extracellular DNA appears to reduce sputum viscosity and viscoelasticity.","PeptidesOrganic CompoundsOrganic AcidsCarboxylic Acids and DerivativesAmino Acids, Peptides, and Analogues",DB00003,Pulmozyme
Denileukin diftitox,A recombinant DNA-derived cytotoxic protein composed of the amino acid sequences for diphtheria toxin fragments A and B (Met 1-Thr 387)-His followed by the sequences for interleukin-2 (IL-2; Ala 1-Thr 133). It is produced in an E. coli expression system.,"PeptidesOrganic CompoundsOrganic AcidsCarboxylic Acids and DerivativesAmino Acids, Peptides, and Analogues",DB00004,Ontak
Etanercept,"Dimeric fusion protein consisting of the extracellular ligand-binding portion of the human 75 kilodalton (p75) tumor necrosis factor receptor (TNFR) linked to the Fc portion of human IgG1.[L14862,A216522] The Fc component of etanercept contains the CH2 domain, the CH3 domain and hinge region, but not the CH1 domain of IgG1. Etanercept is produced by recombinant DNA technology in a Chinese hamster ovary (CHO) mammalian cell expression system. It consists of 934 amino acids. It is used to treat or manage a variety of inflammatory conditions including rheumatoid arthritis (RA), ankylosing spondylitis (AS), and juvenile idiopathic poly-articular arthritis (JIA).","PeptidesOrganic CompoundsOrganic AcidsCarboxylic Acids and DerivativesAmino Acids, Peptides, and Analogues",DB00005,Benepali
Bivalirudin,"Bivalirudin is a synthetic 20 residue peptide (thrombin inhibitor) which reversibly inhibits thrombin. Once bound to the active site, thrombin cannot activate fibrinogen into fibrin, the crucial step in the formation of thrombus. It is administered intravenously. Because it can cause blood stagnation, it is important to monitor changes in hematocrit, activated partial thromboplastin time, international normalized ratio and blood pressure.",This compound belongs to the class of organic compounds known as polypeptides. These are peptides containing ten or more amino acid residues.PolypeptidesOrganic compoundsOrganic PolymersPolypeptides1-hydroxy-2-unsubstituted benzenoidsAlpha amino acid amidesAmino acidsAmphetamines and derivativesAralkylaminesAsparagine and derivativesAspartic acid and derivativesAzacyclic compoundsCarbonyl compoundsCarboximidamidesCarboxylic acidsGlutamic acid and derivativesGuanidinesHexacarboxylic acids and derivativesHydrocarbon derivativesIminesIsoleucine and derivativesLeucine and derivativesMonoalkylaminesN-acyl aminesN-acyl-L-alpha-amino acidsN-acylpyrrolidinesOrganic oxidesOrganopnictogen compoundsPeptidesPhenylalanine and derivativesPrimary carboxylic acid amidesProline and derivativesPyrrolidinecarboxamidesSecondary carboxylic acid amidesTertiary carboxylic acid amidesTyrosine and derivatives1-hydroxy-2-unsubstituted benzenoidAlpha peptideAlpha-amino acid amideAlpha-amino acid or derivativesAmineAmino acidAmino acid or derivativesAmphetamine or derivativesAralkylamineAromatic heteromonocyclic compoundAsparagine or derivativesAspartic acid or derivativesAzacycleBenzenoidCarbonyl groupCarboxamide groupCarboximidamideCarboxylic acidCarboxylic acid derivativeFatty acylFatty amideGlutamic acid or derivativesGuanidineHexacarboxylic acid or derivativesHydrocarbon derivativeImineIsoleucine or derivativesLeucine or derivativesMonocyclic benzene moietyN-acyl-alpha amino acid or derivativesN-acyl-alpha-amino acidN-acyl-amineN-acyl-l-alpha-amino acidN-acylpyrrolidineN-substituted-alpha-amino acidOrganic nitrogen compoundOrganic oxideOrganic oxygen compoundOrganoheterocyclic compoundOrganonitrogen compoundOrganooxygen compoundOrganopnictogen compoundPhenolPhenylalanine or derivativesPolypeptidePrimary aliphatic aminePrimary aminePrimary carboxylic acid amideProline or derivativesPyrrolidinePyrrolidine carboxylic acid or derivativesPyrrolidine-2-carboxamideSecondary carboxylic acid amideTertiary carboxylic acid amideTyrosine or derivatives,DB00006,Angiomax
Leuprolide,"Leuprolide is a synthetic 9-residue peptide analogue of gonadotropin-releasing hormone (GnRH). Unlike the endogenous decapeptide GnRH, leuprolide contains a single D-amino acid (D-leucyl) residue, which helps to increase its circulating half-life from three to four minutes to approximately three hours.[A203222] As a GnRH mimic, leuprolide is capable of binding to the GnRH receptor (GnRHR) and inducing downstream modulation of both gonadotropin hormone and sex steroid levels. Prolonged activation of GnRHR results in significant downregulation of sex steroid levels, which is primarily responsible for the clinical efficacy of leuprolide in diverse conditions, including advanced prostate cancer, endometriosis, and central precocious puberty.[A203126, A203132]

Leuprolide was first approved in 1985 as a daily subcutaneous injection under the tradename Lupron™ by Abbvie Endocrine Inc.[L13850] Since this initial approval, various long-acting intramuscular and subcutaneous products have been developed such that patients can be dosed once every six months.[L13781, L13790] Leuprolide remains frontline therapy in all conditions for which it is indicated for use.",NA,DB00007,Camcevi
Peginterferon alfa-2a,"Peginterferon alfa-2a is a form of recombinant interferon used as part of combination therapy to treat chronic Hepatitis C, an infectious liver disease caused by infection with Hepatitis C Virus (HCV). HCV is a single-stranded RNA virus that is categorized into nine distinct genotypes, with genotype 1 being the most common in the United States, and affecting 72% of all chronic HCV patients [L852]. Treatment options for chronic Hepatitis C have advanced significantly since 2011, with the development of Direct Acting Antivirals (DAAs) resulting in less use of Peginterferon alfa-2a. Peginterferon alfa-2a is derived from the alfa-2a moeity of recombinant human interferon and acts by binding to human type 1 interferon receptors. Activation and dimerization of this receptor induces the body's innate antiviral response by activating the janus kinase/signal transducer and activator of transcription (JAK/STAT) pathway. Use of Peginterferon alfa-2a is associated with a wide range of severe adverse effects including the aggravation and development of endocrine and autoimmune disorders, retinopathies, cardiovascular and neuropsychiatric complications, and increased risk of hepatic decompensation in patients with cirrhosis. The use of Peginterferon alfa-2a has largely declined since newer interferon-free antiviral therapies have been developed.

In a joint recommendation published in 2016, the American Association for the Study of Liver Diseases (AASLD) and the Infectious Diseases Society of America (IDSA) no longer recommend Peginterferon alfa-2a for the treatment of Hepatitis C [A19593]. Peginterferon alfa-2a was used alongside [DB00811] with the intent to cure, or achieve a sustained virologic response (SVR), after 48 weeks of therapy. SVR and eradication of HCV infection is associated with significant long-term health benefits including reduced liver-related damage, improved quality of life, reduced incidence of Hepatocellular Carcinoma, and reduced all-cause mortality [A19626].

Peginterferon alfa-2a is available as a fixed dose injector (tradename Pegasys) used for the treatment of chronic Hepatitis C. Approved in 2002 by the FDA, Pegasys is indicated for the treatment of HCV with [DB00811] or other antiviral drugs [FDA Label]. When combined together, Peginterferon alfa-2a and [DB00811] have been shown to achieve a SVR between 36% for genotype 1 and 59% for genotypes 2-6 after 48 weeks of treatment.","PeptidesOrganic CompoundsOrganic AcidsCarboxylic Acids and DerivativesAmino Acids, Peptides, and Analogues",DB00008,Pegasys
Alteplase,"Alteplase is a recombinant tissue plasminogen activator (rt-PA) used as a thrombolytic agent.[L43125] It cleaves plasminogen to form plasmin, an enzyme involved in the degradation of fibrin clots. In the absence of fibrin, the alteplase-mediated conversion of plasminogen is limited, thanks to the high affinity between alteplase and fibrin.[A252330,L43125] Alteplase is a purified glycoprotein of 527 amino acids expressed in Chinese hamster ovary (CHO) cells.[A252345,L43125] It was first approved by the FDA in 1987 for the management of thromboembolic disease, including acute myocardial infarction (AMI).[A252270] The use of alteplase to manage AMI has decreased thanks to the availability of safer treatments such as angioplasty and stenting. However, its use for the treatment of acute ischemic stroke (AIS) has increased over the years.[A252340] New thrombolytic agents derived from tissue plasminogen activator, such as [desmoteplase], [tenecteplase] and [reteplase], have also been developed.[A252270,A252345] Alteplase is also available as Cathflo Activase (intracatheter instillation) for the restoration of function to central venous access devices.[L34864]","PeptidesOrganic CompoundsOrganic AcidsCarboxylic Acids and DerivativesAmino Acids, Peptides, and Analogues",DB00009,Activase
Sermorelin,Sermorelin acetate is the acetate salt of an amidated synthetic 29-amino acid peptide (GRF 1-29 NH 2 ) that corresponds to the amino-terminal segment of the naturally occurring human growth hormone-releasing hormone (GHRH or GRF) consisting of 44 amino acid residues,"PeptidesOrganic CompoundsOrganic AcidsCarboxylic Acids and DerivativesAmino Acids, Peptides, and Analogues",DB00010,Sermorelin
